,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0304,0305,0401,0402,0403,0501,0502,0601,0602,0603,0604,0605,0606,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,PerúCRIS,"Busca establecer, desarrollar y operar la Red Nacional de Información en Ciencia, Tecnología e Innovación Tecnológica (CTI), a fin de consolidar y gestionar la información científica y académica de todo el Perú, generar estadísticas para apoyar la toma de decisiones a nivel institucional, regional, sectorial y nacional; así como visibilizar globalmente las actividades, capacidades y producción científica de los investigadores peruanos.",https://www.cepal.org/es/notas/perucris-infraestructura-esencial-desarrollo-la-ciencia-abierta,perucris@concytec.gob.pe,"0101,0304,0401,0602,0604,0606",Producción Científica,,,,,,,,,,,,Virtuales,,Evaluación abierta de la ciencia,,,,,,X,,X,,X,,0101,,,,,,,,,,,,0304,,0401,,,,,,0602,,0604,,0606
PE,Actualizaciones y Evaluaciones en Repositorios,"Se han realizado actualizaciones en la directiva del Concytec relacionadas con repositorios institucionales para mejorar la calidad de los contenidos. Además, se trabaja en la evaluación de repositorios institucionales utilizando la plataforma DPyx y criterios que incluyen visibilidad, aspectos legales, metadatos, interoperabilidad, estadísticas, seguridad, autenticidad e integridad de los datos. Sesiones de soporte a repositorios se han generado para fortalecer su contenido.",https://repositorio.concytec.gob.pe/,repositorio@concytec.gob.pe,"0304,0401,0601,0602,0606",,,,,,,,,,,,,Virtuales,,Evaluación abierta de la ciencia,,,,,X,X,,,,X,,,,,,,,,,,,,,0304,,0401,,,,,0601,0602,,,,0606
PE,Red Latinoamericana de Evaluación por Pares (REDLARP),"Perú participó en la Reunión de Ministros de Ciencia y Tecnología en 2022, donde se conformó la Red Latinoamericana de Evaluación por Pares. Esta red permite a los países de la CELAC compartir conocimientos de I+D y experiencias en la evaluación de proyectos de investigación, incluyendo bases de datos de evaluadores y documentos técnicos.",,,"0401,0605,0606",,,,,,,,,,,,,,,Evaluación abierta de la ciencia,,,,,,,,,X,X,,,,,,,,,,,,,,,,0401,,,,,,,,,0605,0606
PE,Código de Integridad Científica,"El cógido de integridad científica establece normas de conducta, infracciones y sanciones para toda persona natural o jurídica que realice investigación científica, desarrollo tecnológico y/o innovación tecnológica en el territorio nacional.",https://portal.concytec.gob.pe/images/publicaciones/Codigo-integridad-cientifica.pdf,comunicacion@concytec.gob.pe,"0501,0601",,,,,,,,,,,,,,,,,,Cuerpos Normativos Nacionales,,X,,,,,,,,,,,,,,,,,,,,,,,,0501,,0601,,,,,
PE,LA Referencia ,"País socio del Proyecto LA-Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto, entre los que se destacan: el uso de repositorios registrados en OpenDOAR, repositorios en el sector público, repositorios de datos. Es signatario de los principales acuerdos de LA Referencia",https://www.lareferencia.info/es/nodos/peru,alicia@concytec.gob.pe,"0101,0304,0602,0605",Producción Científica,,,,,,,,,,,,Virtuales,,,,,,,,X,,,X,,,0101,,,,,,,,,,,,0304,,,,,,,,0602,,,0605,
PE,Ley Nº 30035 ,"Establece el marco normativo del Repositorio Nacional Digital de Ciencia, Tecnología e Innovación de Acceso Abierto",https://portal.concytec.gob.pe/images/stories/images2013/portal/areas-institucion/dsic/ley-30035.pdf,,"0501,0601",,,,,,,,,,,,,,,,,,Cuerpos Normativos Nacionales,,X,,,,,,,,,,,,,,,,,,,,,,,,0501,,0601,,,,,
MX,Política Nacional de Acceso Abierto,México tiene una política nacional de acceso abierto estructurada a través de un marco legal consistente y una institución fuerte encargada de su implementación: el CONAHCyT.,https://conahcyt.mx/conahcyt/que-es-el-conahcyt/,cca@conacyt.mx,0501,,,,,,,,,,,,,,,,,,Cuerpos Normativos Nacionales,,,,,,,,,,,,,,,,,,,,,,,,,,0501,,,,,,,
MX,Sistema CRMCYT,"El CONAHCyT gestiona el Sistema de Clasificación de Revistas Mexicanas de Ciencia y Tecnología (Sistema CRMCYT), que busca elevar la calidad, visibilidad e impacto de las revistas científicas.",https://conahcyt.mx/servicios-en-linea/crmcyt/,cca@conacyt.mx,0101,Producción Cientifica,,,,,,,,,,,,,,,,,,,,,,,,,,0101,,,,,,,,,,,,,,,,,,,,,,,,
MX,SciELO México,"SciELO México es una hemeroteca virtual conformada por una colección de revistas mexicanas de todas las áreas del conocimiento, desde 2004 es desarrollada por la Dirección General de Bibliotecas y Servicios Digitales de Información (DGBSDI) de la Universidad Nacional Autónoma de México (UNAM). Es gestionado desde 2004 por la Dirección General de Bibliotecas y Servicios Digitales de Información (DGBSDI) de la UNAM.",https://www.scielo.org.mx/scielo.php,scielo@dgb.unam.mx,"0101,0103",Producción Cientifica,,Recursos Educativos Abiertos,,,,,,,,,,,,,,,,,,,,,,,,0101,,0103,,,,,,,,,,,,,,,,,,,,,,
MX,CONRICYT,Consorcio Nacional de Recursos de Información Científica y Tecnológica (CONRICYT) facilita el acceso a la información científica en formatos digitales a las comunidades académicas de las instituciones de educación superior y centros de investigación.,https://www.conricyt.mx/,serviinfo.conricyt@gmail.com,0102,,Datos abiertos de investigación,,,,,,,,,,,,,,,,,,,,,,,,,,0102,,,,,,,,,,,,,,,,,,,,,,,
MX,Red Mexicana de Repositorios Institucionales (REMERI),"Plataforma que integra los repositorios digitales de las Instituciones Mexicanas de Educación Superior para permitir su difusión, localización y visualización de manera interoperable a través de interfaces comunes. Una de las líneas estratégicas de desarrollo de REMERI es la capacitación y asesoría a las instituciones mexicanas miembros de la Red; a través de conferencias, cursos, talleres y presentaciones, en modalidad presencial o virtual.",http://www.remeri.org.mx/app/index.html,alinavn at uaslp.mx,0304,,,,,,,,,,,,,Virtuales,,,,,,,,,,,,,,,,,,,,,,,,,,0304,,,,,,,,,,,,
MX,Directorio Nacional de Repositorios Digitales de Acceso Abierto de México (DiNaRe),"El objetivo es establecer un registro estándar de los repositorios de Acceso Abierto en México, basado en el modelo de OpenDOAR, que ofrecerá servicios y herramientas para administradores de repositorios. Este registro se mantendrá actualizado y facilitará la inclusión de nuevos repositorios, ampliando así la visibilidad de las instituciones responsables y promoviendo proyectos colaborativos en el ámbito digital.",http://sedici.unlp.edu.ar/handle/10915/136676,,"0102,0304",,Datos abiertos de investigación,,,,,,,,,,,Virtuales,,,,,,,,,,,,,,,0102,,,,,,,,,,,0304,,,,,,,,,,,,
MX,"Programa Especial de Ciencia, Tecnología e Innovación (PECITI).","La política de ciencia, tecnología e innovación se articula a través del Programa Especial de Ciencia, Tecnología e Innovación (PECITI).",https://conahcyt.mx/conahcyt/peciti/,cca@conacyt.mx,0501,,,,,,,,,,,,,,,,,,Cuerpos Normativos Nacionales,,,,,,,,,,,,,,,,,,,,,,,,,,0501,,,,,,,
MX,Obligaciones Legales,"El Artículo 3 de la última reforma de la Constitución de los Estados Unidos Mexicanos establece que el Estado apoyará la investigación e innovación científica, humanística y tecnológica, y garantizará el acceso abierto a la información que derive de ella.",http://www.ordenjuridico.gob.mx/Constitucion/articulos/3.pdf,,0501,,,,,,,,,,,,,,,,,,Cuerpos Normativos Nacionales,,,,,,,,,,,,,,,,,,,,,,,,,,0501,,,,,,,
MX,Políticas Institucionales de la Universidad Autónoma de México (UNAM),"La UNAM tiene su propia política institucional de acceso abierto. En la misma promueve el acceso abierto y consulta libre y gratuita del contenido digital a través de Internet, producto de las actividades académicas, científicas, de investigación y culturales que se desarrollan en la UNAM y que son publicados por las entidades académicas y dependencias universitarias.","https://www.visibilidadweb.unam.mx/buenas-practicas/acceso-abierto#:~:text=El%20acceso%20abierto%20es%20un,p%C3%BAblico%20en%20l%C3%ADnea%2C%20sin%20restricciones.",bcentral@dgb.unam.mx,"0103,0502",,,Recursos Educativos Abiertos,,,,,,,,,,,,,,,,Cuerpo Normativo Institucional,,,,,,,,,,0103,,,,,,,,,,,,,,,,0502,,,,,,
MX,Políticas Institucionales de la Universidad Autónoma del Estado de Mexico (UAMEX),"La UAMEX tiene su propia política institucional de acceso abierto. Esta tiene por objeto regular el acceso abierto a todo tipo de investigación, materiales educativos, académicos, científicos, tecnológicos, de innovación y culturales, financiados total o parcialmente con recursos públicos o que hayan utilizado infraestructura pública en su realización, en la Universidad Autónoma del Estado de México.",https://hemeroteca.uaemex.mx/plugins/themes/bootstrap3/Acceso_Abierto.pdf,rectoria@uaemex.mx,"0103,0502",,,Recursos Educativos Abiertos,,,,,,,,,,,,,,,,Cuerpo Normativo Institucional,,,,,,,,,,0103,,,,,,,,,,,,,,,,0502,,,,,,
MX,LA Referencia ,"País socio del Proyecto LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia",https://www.lareferencia.info/es/nodos/mexico,alinavn@uaslp.mx,"0101,0102,0304",Producción científica,Datos abiertos de investigación,,,,,,,,,,,Virtuales,,,,,,,,,,,,,,0101,0102,,,,,,,,,,,0304,,,,,,,,,,,,
PA,Políticas de Acceso Abierto en Universidades,"Tres universidades panameñas implementan políticas de Acceso Abierto, basadas en lineamientos que estableció la Universidad Tecnológica de Panamá.",,,"0502,0604",,,,,,,,,,,,,,,,,,,Cuerpos Normativos Institucionales ,,,,X,,,,,,,,,,,,,,,,,,,,,,0502,,,,0604,,
PA,Nodo Nacional y Repositorios,"El nodo nacional se constituyó en 2019 con ayuda de LA Referencia, pasando de no tener repositorios a 10 repositorios. La Universidad Tecnológica desarrolló un sistema para implementar el DSPACE 6.3. El desafío es tratar el tema de la actualización de las versiones de DSPACE y directrices de metadatos.",,,"0102,0304,0402,0602,0603",,Datos abiertos de investigación,,,,,,,,,,,Virtuales,,,Innovación abierta,,,,,x,x,,,,,,0102,,,,,,,,,,,0304,,,0402,,,,,0602,0603,,,
PA,Repositorio Nacional de Datos,"Se ha empezado a implementar un repositorio nacional de datos con Dataverse, trabajando en un piloto para poder escalar en el futuro. Se busca documentar las experiencias de los países con Dataverse.",https://www.senacyt.gob.pa/wp-content/uploads/2021/06/VHarris-Costa-Rica.pdf,info@senacyt.gob.pa,"0102,0103,0304,0402,0403,0602",,Datos abiertos de investigación,Recursos Educativos Abiertos,,,,,,,,,,Virtuales,,,Innovación abierta,Investigación abierta y reproducible,,,,x,,,,,,,0102,0103,,,,,,,,,,0304,,,0402,0403,,,,0602,,,,
PA,Cooperación con la Universidad de Panamá,Con la Universidad de Panamá (UP) se hizo un trabajo fuerte para incluirlas dentro de la cosecha del nodo nacional. Falta trabajar en la implementación de las directrices.,,,"0103,0304,0603",,,Recursos Educativos Abiertos,,,,,,,,,,Virtuales,,,,,,,,,x,,,,,,,0103,,,,,,,,,,0304,,,,,,,,,0603,,,
PA,CRIS CONECTO,"Se lanzó un CRIS con enfoque nacional, denominado CONECTO, coadministrado por organizaciones miembros del CRIS.",http://conecto.senacyt.gob.pa/conecto/about,conecto@indicasat.org.pa,"0105,0304,0602",,,,,Equipos informáticos de código abierto,,,,,,,,Virtuales,,,,,,,,x,,,,,,,,,,0105,,,,,,,,0304,,,,,,,,0602,,,,
PA,Acceso a Bibliografía Científica (ABC),La plataforma Acceso a Bibliografía Científica (ABC) participa activamente en iniciativas de ciencia abierta.,https://abc.senacyt.gob.pa,abc@senacyt.gob.pa,"0304,0604",,,,,,,,,,,,,Virtuales,,,,,,,,,,x,,,,,,,,,,,,,,,,0304,,,,,,,,,,0604,,
PA,Sistema Nacional de Gestión del Conocimiento,"SENACyT está desarrollando una iniciativa para consolidar el Sistema Nacional de Gestión del Conocimiento Científica, Tecnológico e Innovador de Panamá mediante un ecosistema de plataformas digitales.",https://www.senacyt.gob.pa,info@senacyt.gob.pa,"0102,0104,0304,0402,0403,0602",,Datos abiertos de investigación ,,Programas informáticos de código abierto y código fuente abierto,,,,,,,,,Virtuales,,,Innovación abierta,Investigación abierta y reproducible,,,,x,,,,,,,0102,,0104,,,,,,,,,0304,,,0402,0403,,,,0602,,,,
PA,Repositorios Institucionales de Acceso Abierto,En Panamá existen 8 repositorios institucionales de acceso abierto de entidades de CTI (universidades e instituciones de investigación).,,,"0102,0103,0304,0401,0403,0602",,Datos abiertos de investigación ,Recursos Educativos Abiertos,,,,,,,,,,Virtuales,,Evaluación abierta de la ciencia,,Investigación abierta y reproducible,,,,x,,,,,,,0102,0103,,,,,,,,,,0304,,0401,,0403,,,,0602,,,,
PA,PRICILA,"El Portal de Repositorios Institucionales de Ciencia, Tecnología e Innovación de Literatura Abierta (PRICILA) es el agregador nacional de repositorios de acceso abierto en Panamá, gestionado por la SENACyT.",http://pricila.senacyt.gob.pa/vufind/,abc@senacyt.gob.pa,"0102,0304,0401,0602",,Datos abiertos de investigación ,,,,,,,,,,,Virtuales,,Evaluación abierta de la ciencia,,,,,,x,,,,,,,0102,,,,,,,,,,,0304,,0401,,,,,,0602,,,,
PA,Repositorio Nacional de Datos de Investigación,"En 2022, Panamá ha desarrolló un repositorio nacional de datos de investigación.",,,"0102,0201,0304,0402,0403,0602",,Datos abiertos de investigación ,,,,Ciencia ciudadana,,,,,,,Virtuales,,,Innovación abierta,Investigación abierta y reproducible,,,,x,,,,,,,0102,,,,0201,,,,,,,0304,,,0402,0403,,,,0602,,,,
PA,Sistema Nacional de Investigación (SNI),"El Sistema Nacional de Investigación (SNI) evalúa y reconoce el mérito y la dedicación a las labores de investigación y desarrollo tecnológico en Panamá, ofreciendo incentivos económicos y distinciones a la calidad y producción de la investigación.",https://sni.senacyt.gob.pa,info@senacyt.gob.pa,"0101,0401,0402,0604",Producción científica,,,,,,,,,,,,,,Evaluación abierta de la ciencia,Innovación abierta,,,,,,,x,,,,0101,,,,,,,,,,,,,,0401,0402,,,,,,,0604,,
PA,LA Referencia,"País socio del proyecto LA Referencia, ha generado iniciativas y proyectos nacionales en temas de Acceso Abierto, entre los que se pueden resumir: la creación del Repositorio Nacional de Publicaciones (PRICILA), implementación de un sistema nacional CRIS, repositorio nacional de datos de investigación, entre otros.",https://www.lareferencia.info/es/nodos/panama,abc@senacyt.gob.pa,"0101,0102,0304,0601,0605",Producción científica,Datos abiertos de investigación,,,,,,,,,,,Virtuales,,,,,,,x,,,,x,,,0101,0102,,,,,,,,,,,0304,,,,,,,0601,,,,0605,
PA,"Plan Estratégico Nacional de Ciencia, Tecnología e Innovación (PENCYT)","El Plan Estratégico Nacional de Ciencia, Tecnología e Innovación (PENCYT) tiene como función principal definir las acciones estratégicas que deben llevarse a cabo en el ámbito de la investigación, la tecnología y la innovación en Panamá. El PENCYT se alinea con las prioridades del gobierno y busca contribuir a la transformación del país hacia un Estado moderno y competitivo. El plan se ejecuta a lo largo de un período quinquenal y se adapta a las demandas cambiantes y a la disponibilidad de recursos financieros.",https://www.senacyt.gob.pa/pencyt-2019-2024/,info@senacyt.gob.pa,"0201,0202,0203,0402,0602,0605",,,,,,Ciencia ciudadana,Financiación colectiva,Producción colectiva,,,,,,,,Innovación abierta,,,,,x,,,x,,,,,,,,0201,0202,0203,,,,,,,,0402,,,,,0602,,,0605,
SV,Políticas de Acceso Abierto en Universidades,"El Salvador no tiene una política nacional de acceso abierto, pero cuenta con políticas institucionales dentro del sector universitario.",,,"0502,0604",,,,,,,,,,,,,,,,,,,Cuerpos Normativos Institucionales ,,,,X,,,,,,,,,,,,,,,,,,,,,,0502,,,,0604,,
SV,El Consorcio de Bibliotecas Universitarias (CBUES),El Consorcio de Bibliotecas Universitarias de El Salvador (CBUES) se creó en 2011 para gestionar la compra consorciada de recursos digitales y avanzar hacia una prestación de servicios bibliotecarios colaborativa en el entorno digital. CBUES tiene una política de acceso abierto en la que recomienda a las instituciones miembros que elaboren sus propios mandatos para el depósito de documentos en repositorios de acceso abierto.,https://cbues.org.sv,oficina.tecnica@cbues.org.sv,"0102,0202,0304,0402,0602,0604,0606",,Datos abiertos de investigación,,,,,Financiación colectiva,,,,,,Virtuales,,,Innovación Abierta,,,,,X,,X,,X,,,0102,,,,,0202,,,,,,0304,,,0402,,,,,0602,,0604,,0606
SV,Impulso a Repositorios de Acceso Abierto,"El Salvador ha impulsado los repositorios de acceso abierto a través del Consorcio de Bibliotecas Universitarias de El Salvador (CBUES), responsable del Repositorio Digital de Ciencia y Cultura de El Salvador (REDICCES), y del agregador nacional de repositorios de acceso abierto, ACCES.",http://www.redicces.org.sv/jspui/handle/10972/1762     y       http://www.acces.org.sv/vufind/Content/about,,"0102,0304,0403,0602,0606",,Datos abiertos de investigación,,,,,,,,,,,Virtuales,,,,Investigación abierta y reproducible,,,,X,,,,X,,,0102,,,,,,,,,,,0304,,,,0403,,,,0602,,,,0606
SV,ONICYT,"ONICYT se encarga de diseñar indicadores sobre ciencia y tecnología, recoger y analizar información necesaria para tomar decisiones públicas, y llevar a cabo estudios de prospectiva.",,,"0401,0402,0605,0606",,,,,,,,,,,,,,,Evaluación abierta de la ciencia,Innovación abierta,,,,,,,,X,X,,,,,,,,,,,,,,,,0401,0402,,,,,,,,0605,0606
SV,Repositorios Universitarios,Hay un total de 7 universidades que cuentan con un repositorio institucional de acceso abierto.,https://ri.ues.edu.sv,,"0101,0102,0103,0304,0403,0602,0606",Producción científica,Datos abiertos de investigación ,Recursos Educativos Abiertos,,,,,,,,,,Virtuales,,,,Investigación abierta y reproducible,,,,X,,,,X,,0101,0102,0103,,,,,,,,,,0304,,,,0403,,,,0602,,,,0606
SV,Mesa Nacional de Investigación de Educación Superior (MNIES),"MINED creó la Mesa Nacional de Investigación de Educación Superior (MNIES), cuya función es la coordinación de la producción y diseminación de los resultados del conocimiento científico procedentes de la educación superior.",https://www.mined.gob.sv/2021/12/13/mined-lanza-mesa-nacional-de-investigacion-en-educacion-superior/,educacion@mined.gob.sv,"0101,0103,0201,0401,0604,0606",Producción científica,,Recursos Educativos Abiertos,,,Ciencia ciudadana,,,,,,,,,Evaluación abierta de la ciencia,,,,,,,,X,,X,,0101,,0103,,,0201,,,,,,,,,0401,,,,,,,,0604,,0606
SV,CONACyT,"El nuevo CONACyT es la entidad que realiza el seguimiento, evaluación y ejecución de la Política Nacional de Innovación, Ciencia y Tecnología y del Plan Nacional de Ciencia y Tecnología.",https://conacyt.gob.sv,oir@conacyt.gob.sv,"0101,0401,0402,0601",Producción científica,,,,,,,,,,,,,,Evaluación abierta de la ciencia,Innovación abierta,,,,X,,,,,,,0101,,,,,,,,,,,,,,0401,0402,,,,0601,,,,,
SV,"Política Nacional de Innovación, Ciencia y Tecnología","La Política Nacional de Innovación, Ciencia y Tecnología tiene como objetivo fomentar y coordinar la investigación científica y tecnológica para contribuir al desarrollo sostenible y al bienestar social.",https://unctad.org/system/files/non-official-document/Politica%20ICT%20version%20digital.pdf,,"0101,0201,0401,0402,0604,0606",Producción científica,,,,,Ciencia ciudadana,,,,,,,,,Evaluación abierta de la ciencia,Innovación abierta,,,,,,,X,,X,,0101,,,,,0201,,,,,,,,,0401,0402,,,,,,,0604,,0606
SV,Agenda Digital Nacional,La Agenda Digital Nacional 2020-2030 está compuesta por un conjunto de acciones que buscan integrar a todos los actores que participan en el desarrollo del país a través de la innovación y la aplicación de las TIC.,https://www.innovacion.gob.sv,,"0201,0304,0402,0603,0606",,,,,,Ciencia ciudadana,,,,,,,Virtuales,,,Innovación abierta,,,,,,X,,,X,,,,,,,0201,,,,,,,0304,,,0402,,,,,,0603,,,0606
SV,Estrategia de I+D+i,"Existe una Estrategia de Investigación, Desarrollo e Innovación (I+D+i) en la que se espera que se incluya alguna mención específica al acceso abierto a contenidos científicos.",https://www.innovacion.gob.sv/innovacion.php,,"0101,0102,0604",Producción científica,Datos abiertos de investigación,,,,,,,,,,,,,,,,,,,,,X,,,,0101,0102,,,,,,,,,,,,,,,,,,,,,0604,,
SV,Política Nacional de Popularización de la Ciencia y Tecnología,Se ha desarrollado una Política Nacional de Popularización de la Ciencia y Tecnología con el objetivo de divulgar la ciencia en todos los niveles de la sociedad.,https://www.transparencia.gob.sv/institutions/capres/documents/372512/download,,"0102,0103,0201,0301,0302,0303,0304,0403,0501,0604",,Datos abiertos de investigación,Recursos Educativos Abiertos,,,Ciencia ciudadana,,,,Pueblos indígenas,Investigadores marginados,Comunidades locales ,Virtuales,,,,Investigación abierta y reproducible,Cuerpos Normativos Nacionales ,,,,,X,,,,,0102,0103,,,0201,,,,0301,0302,0303,0304,,,,0403,0501,,,,,0604,,
SV,LA Referencia,"Este país ha generado recientemente iniciativas dirigidas al desarrollo de repositorios digitales, constituyendo un gran avance la creación del Consorcio de Bibliotecas Universitarias de El Salvador - CBUES -, el cual reúne a las bibliotecas de nueve universidades salvadoreñas y a la Biblioteca Nacional con el fin de estimular el tema de Acceso Abierto en forma colectiva.

",https://www.lareferencia.info/es/nodos/el-salvador,cbues.org.sv,"0102,0103,0201,0304,0403,0602,0604,0606",,Datos abiertos de investigación,Recursos Educativos Abiertos,,,Ciencia ciudadana,,,,,,,Virtuales,,,,Investigación abierta y reproducible,,,,X,,X,,X,,,0102,0103,,,0201,,,,,,,0304,,,,0403,,,,0602,,0604,,0606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crear un entorno normativo propicio para la ciencia abierta;,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invertir en infraestructuras y servicios de ciencia abierta;,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta;",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta;,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
